ts_id,cluster,transform,model,fold,auto_params,sMAPE,MASE,RMSE
T1232,2,none,CatBoost_MIMO,0,,4.446019884114211,3.313916262483016,429.05530155712626
T747,2,none,CatBoost_MIMO,0,,2.787853992788464,1.069221587609179,35.5079759957912
T3411,2,none,CatBoost_MIMO,0,,5.321890533112896,1.4807312790910305,412.92016094897093
T1394,2,none,CatBoost_MIMO,0,,5.143622410695904,1.6884564526096568,35.5115538190484
T671,2,none,CatBoost_MIMO,0,,2.1055306542681085,1.0837581067263458,247.09648236074787
T2727,2,none,CatBoost_MIMO,0,,2.7043626019241875,2.1101372516643244,580.2831842658121
T692,2,none,CatBoost_MIMO,1,,0.7218475168765632,0.4862539287449748,171.6787418615806
T2695,2,none,CatBoost_MIMO,1,,1.9300349203301708,1.431463100916833,101.89986987981341
T3521,2,none,CatBoost_MIMO,1,,3.353513424986361,1.778961221028849,534.9427002079331
T569,2,none,CatBoost_MIMO,1,,5.745076524528071,3.677011978697311,128.11742194939504
T3085,2,none,CatBoost_MIMO,1,,2.848719923268678,0.7646950627600075,497.38275200558144
T2471,2,none,CatBoost_MIMO,1,,2.2918846646908597,1.0266735935073825,381.80888822861954
T599,2,none,CatBoost_MIMO,1,,1.4542182448841334,0.3647649224589915,183.79983932521827
T1107,2,none,CatBoost_MIMO,1,,1.6378167794130445,0.9646420584727389,137.0898141868702
T462,2,none,CatBoost_MIMO,1,,3.0972887417772634,2.3466368284010866,500.30946461269974
T3259,2,none,CatBoost_MIMO,1,,7.039482102222948,1.5966713217616688,121.02800084043149
T889,2,none,CatBoost_MIMO,1,,7.47675690187725,2.340354124431783,746.5227696153715
T539,2,none,CatBoost_MIMO,1,,1.2002477580016766,0.8831865429734795,23.48148185019282
T882,2,none,CatBoost_MIMO,1,,7.23027663009066,2.3958377034440117,793.4433065749358
T3037,2,none,CatBoost_MIMO,1,,2.8467117357268905,1.4747000145249693,79.50746056316348
T656,2,none,CatBoost_MIMO,1,,5.052960267265369,2.4066059370042887,644.8171675160613
T721,2,none,CatBoost_MIMO,1,,2.504353064118438,1.6137352367327142,437.3649850053571
T2321,2,none,CatBoost_MIMO,1,,1.2314328256510414,0.35462823382387004,34.165149926075756
T2657,2,none,CatBoost_MIMO,1,,1.1942892349100545,0.1461639937875894,68.60757439604497
T2527,2,none,CatBoost_MIMO,1,,5.0641515947438,2.631705193381157,141.56176888681733
T1117,2,none,CatBoost_MIMO,1,,3.7740883678953554,2.3513994013830883,605.8066631791187
T145,2,none,CatBoost_MIMO,1,,3.069298626312415,2.24247126349954,274.98514872255976
T2729,2,none,CatBoost_MIMO,1,,0.9167374394646944,0.7201330801953157,176.88034544644577
T3104,2,none,CatBoost_MIMO,1,,3.2741075481720796,0.25188768833736724,91.3332185954992
T1177,2,none,CatBoost_MIMO,1,,5.1458564068176935,2.386753411193803,93.57635700485582
T684,2,none,CatBoost_MIMO,1,,1.2078806625734229,0.8165550107043755,243.4414251788541
T2026,2,none,CatBoost_MIMO,1,,10.599385973728825,6.5503245456394135,1143.3837671066356
T1109,2,none,CatBoost_MIMO,1,,2.315487272662138,1.6070868913195104,227.22282561725805
T2291,2,none,CatBoost_MIMO,1,,2.934347607249218,1.8038766582434622,342.0380839422824
T622,2,none,CatBoost_MIMO,1,,0.7126768520208037,0.15894266727749454,9.931353051354366
T1232,2,none,CatBoost_MIMO,1,,1.060660106728845,0.757245344581846,90.56972090963285
T747,2,none,CatBoost_MIMO,1,,8.421560144581084,3.2259746570688765,97.597356169924
